ID,Title,Genre,Director,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions
1,Guardians of the Galaxy,Action,James Gunn,2014,121,8.1,757074,333.13
2,Prometheus,Adventure,Ridley Scott,2012,124,7.0,485820,126.46
3,Split,Horror,M. Night Shyamalan,2016,117,7.3,157606,138.12
4,Sing,Animation,Christophe Lourdelet,2016,108,7.2,60545,270.32
5,Suicide Squad,Action,David Ayer,2016,123,6.2,393727,325.02
6,The Great Wall,Action,Yimou Zhang,2016,103,6.1,56036,45.13
7,La La Land,Comedy,Damien Chazelle,2016,128,8.3,258682,151.06
8,Mindhorn,Comedy,Sean Foley,2016,89,6.4,2490,
10,Passengers,Adventure,Morten Tyldum,2016,116,7.0,192177,100.01
11,Fantastic Beasts and Where to Find Them,Adventure,David Yates,2016,133,7.5,232072,234.02
12,Hidden Figures,Biography,Theodore Melfi,2016,127,7.8,93103,169.27
13,Rogue One,Action,Gareth Edwards,2016,133,7.9,323118,532.17
14,Moana,Animation,Ron Clements,2016,107,7.7,118151,248.75
16,The Secret Life of Pets,Animation,Chris Renaud,2016,87,6.6,120259,368.31
17,Hacksaw Ridge,Biography,Mel Gibson,2016,139,8.2,211760,67.12
18,Jason Bourne,Action,Paul Greengrass,2016,123,6.7,150823,162.16
19,Lion,Biography,Garth Davis,2016,118,8.1,102061,51.69
20,Arrival,Drama,Denis Villeneuve,2016,116,8.0,340798,100.50
22,Manchester by the Sea,Drama,Kenneth Lonergan,2016,137,7.9,134213,47.70
23,Hounds of Love,Crime,Ben Young,2016,108,6.7,1115,
24,Trolls,Animation,Walt Dohrn,2016,92,6.5,38552,153.69
25,Independence Day: Resurgence,Action,Roland Emmerich,2016,120,5.3,127553,103.14
26,Paris pieds nus,Comedy,Dominique Abel,2016,83,6.8,222,
29,Bad Moms,Comedy,Jon Lucas,2016,100,6.2,66540,113.08
30,Assassin's Creed,Action,Justin Kurzel,2016,115,5.9,112813,54.65
31,Why Him?,Comedy,John Hamburg,2016,111,6.3,48123,60.31
33,X-Men: Apocalypse,Action,Bryan Singer,2016,144,7.1,275510,155.33
34,Deadpool,Action,Tim Miller,2016,108,8.0,627797,363.02
35,Resident Evil: The Final Chapter,Action,Paul W.S. Anderson,2016,107,5.6,46165,26.84
36,Captain America: Civil War,Action,Anthony Russo,2016,147,7.9,411656,408.08
37,Interstellar,Adventure,Christopher Nolan,2014,169,8.6,1047747,187.99
38,Doctor Strange,Action,Scott Derrickson,2016,115,7.6,293732,232.60
39,The Magnificent Seven,Action,Antoine Fuqua,2016,132,6.9,122853,93.38
40,5- 25- 77,Comedy,Patrick Read Johnson,2007,113,7.1,241,
41,Sausage Party,Animation,Greg Tiernan,2016,89,6.3,120690,97.66
42,Moonlight,Drama,Barry Jenkins,2016,111,7.5,135095,27.85
43,Don't Fuck in the Woods,Horror,Shawn Burkett,2016,73,5.0,496,
46,Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,2011,136,6.7,395025,241.06
48,Fallen,Adventure,Scott Hicks,2016,91,5.6,5103,
49,Star Trek Beyond,Action,Justin Lin,2016,122,7.1,164567,158.80
50,The Last Face,Drama,Sean Penn,2016,130,5.0,987,
51,Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams,2015,136,8.1,661608,936.63
52,Underworld: Blood Wars,Action,Anna Foerster,2016,91,5.8,41362,30.35
53,Mother's Day,Comedy,Garry Marshall,2016,118,5.6,20221,32.46
54,John Wick,Action,Chad Stahelski,2014,101,7.2,321933,43.00
55,The Dark Knight,Action,Christopher Nolan,2008,152,9.0,1791916,533.32
57,Don't Breathe,Crime,Fede Alvarez,2016,88,7.2,121103,89.21
58,Me Before You,Drama,Thea Sharrock,2016,106,7.4,113322,56.23
60,Sully,Biography,Clint Eastwood,2016,96,7.5,137608,125.07
61,Batman v Superman: Dawn of Justice,Action,Zack Snyder,2016,151,6.7,472307,330.25
62,The Autopsy of Jane Doe,Horror,André Øvredal,2016,86,6.8,35870,
63,The Girl on the Train,Crime,Tate Taylor,2016,112,6.5,102177,75.31
64,Fifty Shades of Grey,Drama,Sam Taylor-Johnson,2015,125,5.0,244474,166.15
65,The Prestige,Drama,Christopher Nolan,2006,130,8.5,913152,53.08
66,Kingsman: The Secret Service,Action,Matthew Vaughn,2014,129,7.7,440209,128.25
67,Patriots Day,Drama,Peter Berg,2016,133,7.4,39784,31.86
68,Mad Max: Fury Road,Action,George Miller,2015,120,8.1,632842,153.63
70,Deepwater Horizon,Action,Peter Berg,2016,107,7.2,89849,61.28
71,The Promise,Drama,Terry George,2016,133,5.9,149791,
72,Allied,Action,Robert Zemeckis,2016,124,7.1,78079,40.07
74,Collateral Beauty,Drama,David Frankel,2016,97,6.8,43977,30.98
75,Zootopia,Animation,Byron Howard,2016,108,8.1,296853,341.26
76,Pirates of the Caribbean: At World's End,Action,Gore Verbinski,2007,169,7.1,498821,309.40
77,The Avengers,Action,Joss Whedon,2012,143,8.1,1045588,623.28
78,Inglourious Basterds,Adventure,Quentin Tarantino,2009,153,8.3,959065,120.52
79,Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski,2006,151,7.3,552027,423.03
80,Ghostbusters,Action,Paul Feig,2016,116,5.3,147717,128.34
81,Inception,Action,Christopher Nolan,2010,148,8.8,1583625,292.57
83,The Wolf of Wall Street,Biography,Martin Scorsese,2013,180,8.2,865134,116.87
84,Gone Girl,Crime,David Fincher,2014,149,8.1,636243,167.74
85,Furious Seven,Action,James Wan,2015,137,7.2,301249,350.03
86,Jurassic World,Action,Colin Trevorrow,2015,124,7.0,455169,652.18
88,Avatar,Action,James Cameron,2009,162,7.8,935408,760.51
89,The Hateful Eight,Crime,Quentin Tarantino,2015,187,7.8,341170,54.12
90,The Accountant,Action,Gavin O'Connor,2016,128,7.4,162122,86.20
91,Prisoners,Crime,Denis Villeneuve,2013,153,8.1,431185,60.96
92,Warcraft,Action,Duncan Jones,2016,123,7.0,187547,47.17
93,The Help,Drama,Tate Taylor,2011,146,8.1,342429,169.71
94,War Dogs,Comedy,Todd Phillips,2016,114,7.1,106463,43.02
95,Avengers: Age of Ultron,Action,Joss Whedon,2015,141,7.4,516895,458.99
96,The Nice Guys,Action,Shane Black,2016,116,7.4,175067,36.25
100,The Departed,Crime,Martin Scorsese,2006,151,8.5,937414,132.37
102,Thor,Action,Kenneth Branagh,2011,115,7.0,570814,181.02
103,The Martian,Adventure,Ridley Scott,2015,144,8.0,556097,228.43
104,Contratiempo,Crime,Oriol Paulo,2016,106,7.9,7204,
105,The Man from U.N.C.L.E.,Action,Guy Ritchie,2015,116,7.3,202973,45.43
106,Hell or High Water,Crime,David Mackenzie,2016,102,7.7,115546,26.86
108,The Legend of Tarzan,Action,David Yates,2016,110,6.3,117590,126.59
109,All We Had,Drama,Katie Holmes,2016,105,5.8,1004,
110,Ex Machina,Drama,Alex Garland,2014,108,7.7,339797,25.44
112,12 Years a Slave,Biography,Steve McQueen,2013,134,8.1,486338,56.67
113,The Bad Batch,Romance,Ana Lily Amirpour,2016,118,6.1,512,
114,300,Action,Zack Snyder,2006,117,7.7,637104,210.59
115,Harry Potter and the Deathly Hallows: Part 2,Adventure,David Yates,2011,130,8.1,590595,380.96
116,Office Christmas Party,Comedy,Josh Gordon,2016,105,5.8,30761,54.73
119,10 Cloverfield Lane,Drama,Dan Trachtenberg,2016,104,7.2,192968,71.90
120,Finding Dory,Animation,Andrew Stanton,2016,97,7.4,157026,486.29
121,Miss Peregrine's Home for Peculiar Children,Adventure,Tim Burton,2016,127,6.7,101058,87.24
122,Divergent,Adventure,Neil Burger,2014,139,6.7,362093,150.83
123,Mike and Dave Need Wedding Dates,Adventure,Jake Szymanski,2016,98,6.0,53183,46.01
124,Boyka: Undisputed IV,Action,Todor Chapkanov,2016,86,7.4,10428,
125,The Dark Knight Rises,Action,Christopher Nolan,2012,164,8.5,1222645,448.13
126,The Jungle Book,Adventure,Jon Favreau,2016,106,7.5,198243,364.00
127,Transformers: Age of Extinction,Action,Michael Bay,2014,165,5.7,255483,245.43
128,Nerve,Adventure,Henry Joost,2016,96,6.6,69651,38.56
129,Mamma Mia!,Comedy,Phyllida Lloyd,2008,108,6.4,153481,143.70
130,The Revenant,Adventure,Alejandro González Iñárritu,2015,156,8.0,499424,183.64
131,Fences,Drama,Denzel Washington,2016,139,7.3,50953,57.64
132,Into the Woods,Adventure,Rob Marshall,2014,125,6.0,109756,128.00
133,The Shallows,Drama,Jaume Collet-Serra,2016,86,6.4,78328,55.12
135,Furious 6,Action,Justin Lin,2013,130,7.1,318051,238.67
136,The Place Beyond the Pines,Crime,Derek Cianfrance,2012,140,7.3,200090,21.38
137,No Country for Old Men,Crime,Ethan Coen,2007,122,8.1,660286,74.27
138,The Great Gatsby,Drama,Baz Luhrmann,2013,143,7.3,386102,144.81
139,Shutter Island,Mystery,Martin Scorsese,2010,138,8.1,855604,127.97
140,Brimstone,Mystery,Martin Koolhoven,2016,148,7.1,13004,
141,Star Trek,Action,J.J. Abrams,2009,127,8.0,526324,257.70
142,Diary of a Wimpy Kid,Comedy,Thor Freudenthal,2010,94,6.2,34184,64.00
143,The Big Short,Biography,Adam McKay,2015,130,7.8,246360,70.24
145,Django Unchained,Drama,Quentin Tarantino,2012,165,8.4,1039115,162.80
148,Watchmen,Action,Zack Snyder,2009,162,7.6,410249,107.50
149,Superbad,Comedy,Greg Mottola,2007,113,7.6,442082,121.46
150,Inferno,Action,Ron Howard,2016,121,6.2,97623,34.26
151,The BFG,Adventure,Steven Spielberg,2016,117,6.4,50853,55.47
152,The Hunger Games,Adventure,Gary Ross,2012,142,7.2,735604,408.00
154,Sicario,Action,Denis Villeneuve,2015,121,7.6,243230,46.88
155,Twin Peaks: The Missing Pieces,Drama,David Lynch,2014,91,8.1,1973,
156,Aliens vs Predator - Requiem,Action,Colin Strause,2007,94,5.0,97618,41.80
157,Pacific Rim,Action,Guillermo del Toro,2013,131,7.0,400519,101.79
158,"Crazy, Stupid, Love.",Comedy,Glenn Ficarra,2011,118,7.4,396714,84.24
159,Scott Pilgrim vs. the World,Action,Edgar Wright,2010,112,7.5,291457,31.49
160,Hot Fuzz,Action,Edgar Wright,2007,121,7.9,373244,23.62
161,Mine,Thriller,Fabio Guaglione,2016,106,6.0,5926,
163,X-Men: Days of Future Past,Action,Bryan Singer,2014,132,8.0,552298,233.91
164,Jack Reacher: Never Go Back,Action,Edward Zwick,2016,118,6.1,78043,58.40
165,Casino Royale,Action,Martin Campbell,2006,144,8.0,495106,167.01
166,Twilight,Drama,Catherine Hardwicke,2008,122,5.2,361449,191.45
167,Now You See Me 2,Action,Jon M. Chu,2016,129,6.5,156567,65.03
168,Woman in Gold,Biography,Simon Curtis,2015,109,7.3,39723,33.31
169,13 Hours,Action,Michael Bay,2016,144,7.3,76935,52.82
170,Spectre,Action,Sam Mendes,2015,148,6.8,308981,200.07
171,Nightcrawler,Crime,Dan Gilroy,2014,118,7.9,332476,32.28
172,Kubo and the Two Strings,Animation,Travis Knight,2016,101,7.9,72778,48.02
173,Beyond the Gates,Adventure,Jackson Stewart,2016,84,5.2,2127,
174,Her,Drama,Spike Jonze,2013,126,8.0,390531,25.56
175,Frozen,Animation,Chris Buck,2013,102,7.5,451894,400.74
176,Tomorrowland,Action,Brad Bird,2015,130,6.5,143069,93.42
177,Dawn of the Planet of the Apes,Action,Matt Reeves,2014,130,7.6,337777,208.54
178,Tropic Thunder,Action,Ben Stiller,2008,107,7.0,321442,110.42
179,The Conjuring 2,Horror,James Wan,2016,134,7.4,137203,102.46
180,Ant-Man,Action,Peyton Reed,2015,117,7.3,368912,180.19
181,Bridget Jones's Baby,Comedy,Sharon Maguire,2016,118,6.7,43086,24.09
182,The VVitch: A New-England Folktale,Horror,Robert Eggers,2015,92,6.8,101781,25.14
183,Cinderella,Drama,Kenneth Branagh,2015,105,7.0,117018,201.15
184,Realive,Sci-Fi,Mateo Gil,2016,112,5.9,1176,
186,Love,Drama,Gaspar Noé,2015,135,6.0,24003,
188,Crimson Peak,Drama,Guillermo del Toro,2015,119,6.6,97454,31.06
189,Drive,Crime,Nicolas Winding Refn,2011,100,7.8,461509,35.05
190,Trainwreck,Comedy,Judd Apatow,2015,125,6.3,106364,110.01
192,Below Her Mouth,Drama,April Mullen,2016,94,5.6,1445,
193,Spotlight,Crime,Tom McCarthy,2015,128,8.1,268282,44.99
196,Captain America: The First Avenger,Action,Joe Johnston,2011,124,6.9,547368,176.64
197,Hacker,Crime,Akan Satayev,2016,95,6.3,3799,
199,The Imitation Game,Biography,Morten Tyldum,2014,114,8.1,532353,91.12
200,Central Intelligence,Action,Rawson Marshall Thurber,2016,107,6.3,97082,127.38
201,Edge of Tomorrow,Action,Doug Liman,2014,113,7.9,471815,100.19
203,Snowden,Biography,Oliver Stone,2016,134,7.3,79855,21.48
204,Iron Man,Action,Jon Favreau,2008,126,7.9,737719,318.30
205,Allegiant,Action,Robert Schwentke,2016,120,5.7,70504,66.00
206,X: First Class,Action,Matthew Vaughn,2011,132,7.8,550011,146.41
209,Bridesmaids,Comedy,Paul Feig,2011,125,6.8,227912,169.08
210,The Girl with All the Gifts,Drama,Colm McCarthy,2016,111,6.7,23713,
211,San Andreas,Action,Brad Peyton,2015,114,6.1,161396,155.18
213,Transformers,Action,Michael Bay,2007,144,7.1,531112,318.76
214,Old Boy,Action,Spike Lee,2013,104,5.8,54679,
215,Thor: The Dark World,Action,Alan Taylor,2013,112,7.0,443584,206.36
216,Gods of Egypt,Action,Alex Proyas,2016,126,5.5,73568,31.14
217,Captain America: The Winter Soldier,Action,Anthony Russo,2014,136,7.8,542362,259.75
218,Monster Trucks,Action,Chris Wedge,2016,104,5.7,7044,33.04
219,A Dark Song,Drama,Liam Gavin,2016,100,6.1,1703,
220,Kick-Ass,Action,Matthew Vaughn,2010,117,7.7,456749,48.04
222,Cars,Animation,John Lasseter,2006,117,7.1,283445,244.05
224,The Girl with the Dragon Tattoo,Crime,David Fincher,2011,158,7.8,348551,102.52
225,We're the Millers,Comedy,Rawson Marshall Thurber,2013,110,7.0,334867,150.37
228,Predators,Action,Nimród Antal,2010,107,6.4,179450,52.00
229,Maleficent,Action,Robert Stromberg,2014,97,7.0,268877,241.41
230,Rupture,Horror,Steven Shainberg,2016,102,5.0,2382,
231,Pan's Labyrinth,Drama,Guillermo del Toro,2006,118,8.2,498879,37.62
233,Apocalypto,Action,Mel Gibson,2006,139,7.8,247926,50.86
234,Mission: Impossible - Rogue Nation,Action,Christopher McQuarrie,2015,131,7.4,257472,195.00
235,The Huntsman: Winter's War,Action,Cedric Nicolas-Troyan,2016,114,6.1,66766,47.95
239,The Grand Budapest Hotel,Adventure,Wes Anderson,2014,99,8.1,530881,59.07
240,The Host,Action,Andrew Niccol,2013,125,5.9,96852,26.62
241,Fury,Action,David Ayer,2014,134,7.6,332234,85.71
242,Inside Out,Animation,Pete Docter,2015,95,8.2,416689,356.45
244,Terminator Genisys,Action,Alan Taylor,2015,126,6.5,205365,89.73
245,Percy Jackson & the Olympians: The Lightning Thief,Adventure,Chris Columbus,2010,118,5.9,148949,88.76
246,Les Misérables,Drama,Tom Hooper,2012,158,7.6,257426,148.78
247,Children of Men,Drama,Alfonso Cuarón,2006,109,7.9,382910,35.29
249,Spy,Action,Paul Feig,2015,119,7.1,188017,110.82
253,Straight Outta Compton,Biography,F. Gary Gray,2015,147,7.9,139831,161.03
254,The Amazing Spider-Man 2,Action,Marc Webb,2014,142,6.7,342183,202.85
255,The Conjuring,Horror,James Wan,2013,112,7.5,330305,137.39
256,The Hangover,Comedy,Todd Phillips,2009,100,7.8,611563,277.31
257,Battleship,Action,Peter Berg,2012,131,5.8,210349,65.17
258,Rise of the Planet of the Apes,Action,Rupert Wyatt,2011,105,7.6,422290,176.74
259,Lights Out,Horror,David F. Sandberg,2016,81,6.4,69823,67.24
261,Birdman or (The Unexpected Virtue of Ignorance),Comedy,Alejandro González Iñárritu,2014,119,7.8,440299,42.34
262,Black Swan,Drama,Darren Aronofsky,2010,108,8.0,581518,106.95
267,Dirty Grandpa,Comedy,Dan Mazer,2016,102,6.0,75137,35.54
268,Cloud Atlas,Drama,Tom Tykwer,2012,172,7.5,298651,27.10
269,X-Men Origins: Wolverine,Action,Gavin Hood,2009,107,6.7,388447,179.88
270,Satanic,Horror,Jeffrey G. Hunt,2016,85,5.0,2384,
271,Skyfall,Action,Sam Mendes,2012,143,7.8,547386,304.36
272,The Hobbit: An Unexpected Journey,Adventure,Peter Jackson,2012,169,7.9,668651,303.00
273,21 Jump Street,Action,Phil Lord,2012,110,7.2,432046,138.45
275,Ballerina,Animation,Eric Summer,2016,89,6.8,4729,
276,Oblivion,Action,Joseph Kosinski,2013,124,7.0,410125,89.02
277,22 Jump Street,Action,Phil Lord,2014,112,7.1,280110,191.62
278,Zodiac,Crime,David Fincher,2007,157,7.7,329683,33.05
280,Iron Man Three,Action,Shane Black,2013,130,7.2,591023,408.99
281,Now You See Me,Crime,Louis Leterrier,2013,115,7.3,492324,117.70
282,Sherlock Holmes,Action,Guy Ritchie,2009,128,7.6,501769,209.02
283,Death Proof,Thriller,Quentin Tarantino,2007,113,7.1,220236,
285,Hercules,Action,Brett Ratner,2014,98,6.0,122838,72.66
286,Sucker Punch,Action,Zack Snyder,2011,110,6.1,204874,36.38
288,Jupiter Ascending,Action,Lana Wachowski,2015,127,5.3,150121,47.38
290,Iris,Thriller,Jalil Lespert,2016,99,6.1,726,
292,Pitch Perfect,Comedy,Jason Moore,2012,112,7.2,226631,65.00
293,Neighbors 2: Sorority Rising,Comedy,Nicholas Stoller,2016,92,5.7,76327,55.29
294,The Exception,Drama,David Leveaux,2016,107,7.7,96,
295,Man of Steel,Action,Zack Snyder,2013,143,7.1,577010,291.02
297,Ice Age: Collision Course,Animation,Mike Thurmeier,2016,94,5.7,34523,64.06
298,The Devil Wears Prada,Comedy,David Frankel,2006,109,6.8,302268,124.73
300,There Will Be Blood,Drama,Paul Thomas Anderson,2007,158,8.1,400682,40.22
301,The Equalizer,Action,Antoine Fuqua,2014,132,7.2,249425,101.53
302,Lone Survivor,Action,Peter Berg,2013,121,7.5,218996,125.07
303,The Cabin in the Woods,Horror,Drew Goddard,2012,95,7.0,295554,42.04
304,The House Bunny,Comedy,Fred Wolf,2008,97,5.5,67033,48.24
305,She's Out of My League,Comedy,Jim Field Smith,2010,104,6.4,105619,31.58
307,Alice Through the Looking Glass,Adventure,James Bobin,2016,113,6.2,57207,77.04
